Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/svg_Captcha_vue_client_recaptcha_icon_svg""))",Chrome 125.0.0.0,,,14-06-2024 14:07:33,14-06-2024 14:07:33,0.339s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/p_Forgot Password""))",Chrome 125.0.0.0,,,14-06-2024 14:07:33,14-06-2024 14:07:34,0.517s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/input_Email_emailUsernameRadio""))",Chrome 125.0.0.0,,,14-06-2024 14:07:34,14-06-2024 14:07:34,0.516s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/button_Send OTP""))",Chrome 125.0.0.0,,,14-06-2024 14:07:34,14-06-2024 14:07:35,0.521s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/select_English""), ""ta"", true)",Chrome 125.0.0.0,,,14-06-2024 14:07:35,14-06-2024 14:07:36,1.132s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Massive Upskilling Platform/select_English""), ""en"", true)",Chrome 125.0.0.0,,,14-06-2024 14:07:36,14-06-2024 14:07:37,1.049s,PASSED
"switchToWindowTitle(""Naan Mudhalvan Service Desk | User Registration"")",Chrome 125.0.0.0,,,14-06-2024 14:07:37,14-06-2024 14:07:37,0.039s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Service Desk  User Regi_a585c8/div_Register Your Complaint                _84d17d""))",Chrome 125.0.0.0,,,14-06-2024 14:07:37,14-06-2024 14:07:37,0.295s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Service Desk  User Regi_a585c8/div_Register Your Complaint                _84d17d_1""))",Chrome 125.0.0.0,,,14-06-2024 14:07:37,14-06-2024 14:07:37,0.300s,PASSED
"click(findTestObject(""Object Repository/SERVICE/Page_Naan Mudhalvan Service Desk  User Regi_a585c8/a_supportnaanmudhalvan.in""))",Chrome 125.0.0.0,,,14-06-2024 14:07:37,14-06-2024 14:07:38,0.333s,PASSED
,,,,,,,
Test Cases/skillsoffering,Chrome 125.0.0.0,,,14-06-2024 14:11:18,14-06-2024 14:12:24,1m - 5.793s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:11:18,14-06-2024 14:11:20,2.318s,PASSED
"navigateToUrl(""https://naanmudhalvan.tn.gov.in/"")",Chrome 125.0.0.0,,,14-06-2024 14:11:20,14-06-2024 14:11:27,6.974s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Naan Mudhalvan Massive Upskilling Platform/button_X""))",Chrome 125.0.0.0,,,14-06-2024 14:11:27,14-06-2024 14:11:28,0.563s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Naan Mudhalvan Massive Upskilling Platform/button_X""))",Chrome 125.0.0.0,,,14-06-2024 14:11:28,14-06-2024 14:11:28,0.278s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Naan Mudhalvan Massive Upskilling Platform/a_Skill Offerings""))",Chrome 125.0.0.0,,,14-06-2024 14:11:28,14-06-2024 14:11:29,0.572s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Training Partners in Naan Mudhalvan/p_Arts and Sciences""))",Chrome 125.0.0.0,,,14-06-2024 14:11:29,14-06-2024 14:11:30,0.995s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Training Partners in Naan Mudhalvan/path""))",Chrome 125.0.0.0,,,14-06-2024 14:11:30,14-06-2024 14:11:32,2.715s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Training Partners in Naan Mudhalvan/button_View""))",Chrome 125.0.0.0,,,14-06-2024 14:11:32,14-06-2024 14:11:33,0.566s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Naan Mudhalvan Massive Upskilling Platform/button_Watch""))",Chrome 125.0.0.0,,,14-06-2024 14:11:33,14-06-2024 14:11:34,1.411s,PASSED
"switchToWindowTitle(""Page Not Found"")",Chrome 125.0.0.0,,,14-06-2024 14:11:34,14-06-2024 14:11:46,11.919s,PASSED
"click(findTestObject(""Object Repository/skills/Page_Page Not Found/a_Go to Homepage""))",Chrome 125.0.0.0,,,14-06-2024 14:11:46,14-06-2024 14:11:50,3.155s,PASSED
"click(findTestObject(""Object Repository/skills/Page_GUVI  Learn to code in your native language/span_Free""))",Chrome 125.0.0.0,,,14-06-2024 14:11:50,14-06-2024 14:11:52,2.640s,PASSED
"switchToWindowTitle(""GUVI | Learn to code in your native language"")",Chrome 125.0.0.0,,,14-06-2024 14:11:52,14-06-2024 14:11:52,0.097s,PASSED
"click(findTestObject(""Object Repository/skills/Page_GUVI  Learn to code in your native language/span_IDE""))",Chrome 125.0.0.0,,,14-06-2024 14:11:52,14-06-2024 14:12:24,31.568s,FAILED
